Crotched Mountain,New Hampshire,New Hampshire,2066,1016,1050,0,0,1,1,1,1,1,5,25.0,3.0,1.2,100.0,100.0,105.0,16.0,105.0,55.00,69.00,100.0,100.0,0.355872
Howelsen Hill,Colorado,Colorado,7136,440,6696,0,0,0,0,0,1,3,4,17.0,1.0,6.0,50.0,25.0,100.0,104.0,150.0,25.00,25.00,100.0,10.0,0.355872
Holiday Valley,New York,New York,2250,750,1500,0,0,3,8,0,0,2,13,60.0,5.0,1.0,290.0,266.0,116.0,62.0,180.0,65.00,78.00,129.0,189.0,0.355872
Hilltop Ski Area,Alaska,Alaska,2090,294,1796,0,0,0,0,1,0,2,3,13.0,1.0,1.0,30.0,30.0,150.0,36.0,69.0,30.00,34.00,152.0,30.0,0.355872
Greek Peak,New York,New York,2100,952,1148,0,0,0,1,1,4,2,8,56.0,4.0,1.5,220.0,184.0,110.0,62.0,122.0,49.00,63.20,113.0,175.0,0.355872
Great Divide,Montana,Montana,7330,1580,5750,0,0,0,0,0,5,1,6,110.0,6.0,3.0,1600.0,150.0,94.0,78.0,180.0,48.00,48.00,100.0,100.0,0.355872
Granite Peak Ski Area,Wisconsin,Wisconsin,1942,700,1242,0,1,2,0,2,0,2,7,75.0,4.0,0.6,220.0,160.0,136.0,82.0,75.0,92.00,92.00,135.0,200.0,0.355872
Grand Geneva,Wisconsin,Wisconsin,1086,211,875,0,0,0,0,0,3,3,6,20.0,1.0,0.2,30.0,30.0,90.0,25.0,25.0,28.00,49.00,93.0,30.0,0.355872
Giants Ridge Resort,Minnesota,Minnesota,1972,500,1472,0,0,1,1,1,2,2,7,35.0,2.0,0.8,202.0,202.0,120.0,35.0,85.0,49.0,58.0,125.0,121.0,0.355872
Devils Head,Wisconsin,Wisconsin,995,500,495,0,0,0,3,1,6,2,12,27.0,1.0,1.0,260.0,260.0,110.0,48.0,45.0,45.0,65.0,135.0,200.0,0.355872
Crystal Mountain,Michigan,Michigan,1132,375,757,0,0,1,3,2,0,2,8,58.0,3.0,0.3,102.0,96.0,120.0,63.0,132.0,54.0,64.0,135.0,56.0,0.355872
Woodbury Ski Area,Connecticut,Connecticut,730,300,430,0,0,0,0,0,1,4,5,12.0,2.0,0.2,50.0,50.0,126.0,57.0,70.0,42.0,42.0,180.0,35.0,0.355872
